"post_id","date","username","likes_count","comments_count","caption","hashtags","engagement_rate"
202,2020-01-09,"muzeumslaskie",192,8,"Hej! Izolacja jest trudna, ale jesteśmy razem online. #Głusi #zdrowie #pandemia #PJM","#Głusi #zdrowie #pandemia #PJM",1.11
351,2020-01-09,"pzg_zg",155,18,"Zobaczcie: Domagamy się dostępności w urzędach. #prawa #polskijezykmigowy #Głusi #Deaf","#prawa #polskijezykmigowy #Głusi #Deaf",2.31
359,2020-01-16,"muzeumslaskie",411,44,"Cześć! Konferencja prasowa bez tłumacza? Skandal. #Deaf #polskijezykmigowy #maseczki #pandemia","#Deaf #polskijezykmigowy #maseczki #pandemia",2.53
539,2020-01-16,"fundacja_echo",105,7,"Zobaczcie: Wywiad z Ministrem o dostępności. #prawa #news #Głusi #społeczność","#prawa #news #Głusi #społeczność",2.49
337,2020-01-18,"muzeumslaskie",229,11,"Hej! Teatr, który łączy światy. #kultura #Deaf #PJM #teatr","#kultura #Deaf #PJM #teatr",1.33
245,2020-01-21,"iwonacichosz",517,61,"Hej! Macierzyństwo bez słów jest piękne. #actress #Głusi #polskijezykmigowy #społeczność","#actress #Głusi #polskijezykmigowy #społeczność",1.2
256,2020-01-22,"pzg_zg",53,4,"Cześć! Szczepienia - punkt dostępny z tłumaczem. #zdrowie #PJM #polskijezykmigowy #Deaf","#zdrowie #PJM #polskijezykmigowy #Deaf",0.76
454,2020-01-22,"fundacja_echo",98,7,"Ważne: Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #społeczność #koronawirus #zdrowie #PJM","#społeczność #koronawirus #zdrowie #PJM",2.33
368,2020-01-26,"migam_pl",504,36,"Hej! Nowa funkcja w naszej aplikacji. #PJM #aplikacja #Głusi #tech","#PJM #aplikacja #Głusi #tech",1.5
542,2020-01-28,"muzeumslaskie",367,38,"Ważne: Kino dostępne z napisami i pętlą. #kultura #społeczność #dostępność #Głusi","#kultura #społeczność #dostępność #Głusi",2.25
536,2020-01-30,"unmute_pl",280,28,"Zobaczcie: Kino dostępne z napisami i pętlą. #polskijezykmigowy #społeczność #muzeum #sztuka","#polskijezykmigowy #społeczność #muzeum #sztuka",1.47
170,2020-02-02,"fundacja_echo",113,3,"Hej! Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #koronawirus #maseczki #polskijezykmigowy #Deaf","#koronawirus #maseczki #polskijezykmigowy #Deaf",2.58
